<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
245,04.10.2022 02:00:00,-2.39498,5.96453,-5.11401,
246,04.10.2022 03:00:00,-2.78493,5.96036,-5.11107,
247,04.10.2022 04:00:00,-2.67382,5.94948,-5.11298,
248,04.10.2022 05:00:00,-2.82884,5.94882,-5.11108,3.447
249,04.10.2022 06:00:00,-2.92673,5.95541,-5.11166,
250,04.10.2022 07:00:00,-3.25106,5.95382,-5.10765,
251,04.10.2022 08:00:00,-3.22302,5.95212,-5.1076,
252,04.10.2022 09:00:00,-3.73307,5.95591,-5.10381,
253,04.10.2022 10:00:00,-3.41297,5.93674,-5.11277,
254,04.10.2022 11:00:00,-3.56376,5.94492,-5.10942,3.432
255,04.10.2022 12:00:00,-2.96006,5.93168,-5.11539,
256,04.10.2022 13:00:00,-2.67117,5.94882,-5.11361,
257,04.10.2022 14:00:00,-2.12302,5.92564,-5.12157,
258,04.10.2022 15:00:00,-1.75212,5.90565,-5.12586,
259,04.10.2022 16:00:00,-1.81932,5.90779,-5.11954,
260,04.10.2022 17:00:00,-1.45953,5.91916,-5.124,3.46
261,04.10.2022 18:00:00,-0.779109,5.91306,-5.13138,
262,04.10.2022 19:00:00,-0.190221,5.88428,-5.13847,
263,04.10.2022 20:00:00,0.743641,5.86428,-5.14092,
264,04.10.2022 21:00:00,2.91136,5.88461,-5.14898,
265,04.10.2022 22:00:00,4.20343,5.84577,-5.17247,
266,04.10.2022 23:00:00,5.12935,5.83237,-5.1527,3.435
267,05.10.2022 00:00:00,4.36745,5.83627,-5.15414,
268,05.10.2022 01:00:00,3.94364,5.82215,-5.15591,
269,05.10.2022 02:00:00,2.02512,5.83643,-5.1364,
270,05.10.2022 03:00:00,-1.71455,5.83489,-5.11431,
271,05.10.2022 04:00:00,-0.351068,5.82226,-5.13173,
272,05.10.2022 05:00:00,-0.246304,5.8333,-5.12859,3.455
