"Plot Title: Hobo_A"
"#","Date Time, GMT-06:00","Snow Depth, Inches (LGR S/N: 21378708, SEN S/N: 21074600)","Current, mA (LGR S/N: 21378708, SEN S/N: 21074600)"
288,10/01/22 10:12:10 AM,7.471,0.0125
289,10/01/22 04:12:10 PM,6.850,0.0125
290,10/01/22 10:12:10 PM,7.968,0.0125
291,10/02/22 04:12:10 AM,8.340,0.0125
292,10/02/22 10:12:10 AM,8.713,0.0125
293,10/02/22 04:12:10 PM,8.092,0.0125
294,10/02/22 10:12:10 PM,8.216,0.0125
295,10/03/22 04:12:10 AM,8.092,0.0125
296,10/03/22 10:12:10 AM,8.775,0.0125
297,10/03/22 04:12:10 PM,8.340,0.0125
298,10/03/22 10:12:10 PM,8.340,0.0125
299,10/04/22 04:12:10 AM,8.527,0.0125
300,10/04/22 10:12:10 AM,8.216,0.0125
301,10/04/22 04:12:10 PM,6.974,0.0125
302,10/04/22 10:12:10 PM,5.795,0.0125
303,10/05/22 04:12:10 AM,7.409,0.0125
304,10/05/22 10:12:10 AM,7.657,0.0125
305,10/05/22 04:12:10 PM,6.788,0.0125
306,10/05/22 10:12:10 PM,6.974,0.0125
307,10/06/22 04:12:10 AM,6.478,0.0125
308,10/06/22 10:12:10 AM,6.974,0.0125
309,10/06/22 04:12:10 PM,5.484,0.0187
310,10/06/22 10:12:10 PM,3.497,0.0125
311,10/07/22 04:12:10 AM,3.559,0.0187
312,10/07/22 10:12:10 AM,3.497,0.0125
313,10/07/22 04:12:10 PM,3.683,0.0187
314,10/07/22 10:12:10 PM,3.870,0.0125
315,10/08/22 04:12:10 AM,2.752,0.0125
316,10/08/22 10:12:10 AM,3.373,0.0125
317,10/08/22 04:12:10 PM,2.193,0.0125
318,10/08/22 10:12:10 PM,3.249,0.0187
319,10/09/22 04:12:10 AM,3.125,0.0125
320,10/09/22 10:12:10 AM,3.621,0.0125
321,10/09/22 04:12:10 PM,4.056,0.0187
322,10/09/22 10:12:10 PM,4.863,0.0125
323,10/10/22 04:12:10 AM,3.683,0.0125
324,10/10/22 10:12:10 AM,1.448,0.0125
325,10/10/22 04:12:10 PM,0.579,0.0125
326,10/10/22 10:12:10 PM,0.517,0.0125
327,10/11/22 04:12:10 AM,1.262,0.0125
328,10/11/22 10:12:10 AM,0.951,0.0125
329,10/11/22 04:12:10 PM,3.249,0.0125
330,10/11/22 10:12:10 PM,2.628,0.0125
331,10/12/22 04:12:10 AM,2.504,0.0125
332,10/12/22 10:12:10 AM,3.435,0.0125
333,10/12/22 04:12:10 PM,3.373,0.0125
334,10/12/22 10:12:10 PM,1.013,0.0125
335,10/13/22 04:12:10 AM,5.360,0.0125
336,10/13/22 10:12:10 AM,6.850,0.0125
337,10/13/22 04:12:10 PM,2.069,0.0125
338,10/13/22 10:12:10 PM,2.317,0.0125
339,10/14/22 04:12:10 AM,4.801,0.0125
340,10/14/22 10:12:10 AM,3.125,0.0125
341,10/14/22 04:12:10 PM,2.193,0.0125
342,10/14/22 10:12:10 PM,2.504,0.0125
343,10/15/22 04:12:10 AM,4.118,0.0125
344,10/15/22 10:12:10 AM,5.049,0.0125
345,10/15/22 04:12:10 PM,3.187,0.0125
346,10/15/22 10:12:10 PM,4.677,0.0125
347,10/16/22 04:12:10 AM,2.690,0.0125
348,10/16/22 10:12:10 AM,3.808,0.0125
349,10/16/22 04:12:10 PM,2.752,0.0125
350,10/16/22 10:12:10 PM,6.540,0.0125
351,10/17/22 04:12:10 AM,6.291,0.0125
352,10/17/22 10:12:10 AM,6.974,0.0125
353,10/17/22 04:12:10 PM,6.602,0.0125
354,10/17/22 10:12:10 PM,7.347,0.0125
355,10/18/22 04:12:10 AM,7.471,0.0125
356,10/18/22 10:12:10 AM,7.595,0.0125
357,10/18/22 04:12:10 PM,7.161,0.0125
358,10/18/22 10:12:10 PM,7.285,0.0125
359,10/19/22 04:12:10 AM,5.732,0.0125
360,10/19/22 10:12:10 AM,6.415,0.0125
361,10/19/22 04:12:10 PM,4.863,0.0125
362,10/19/22 10:12:10 PM,7.347,0.0125
363,10/20/22 04:12:10 AM,7.223,0.0125
364,10/20/22 10:12:10 AM,2.317,0.0125
365,10/20/22 04:12:10 PM,-0.415,0.0125
366,10/20/22 10:12:10 PM,1.013,0.0125
367,10/21/22 04:12:10 AM,2.504,0.0125
368,10/21/22 10:12:10 AM,3.125,0.0125
369,10/21/22 04:12:10 PM,3.435,0.0125
370,10/21/22 10:12:10 PM,4.118,0.0125
371,10/22/22 04:12:10 AM,4.863,0.0125
372,10/22/22 10:12:10 AM,4.304,0.0125
373,10/22/22 04:12:10 PM,3.373,0.0125
374,10/22/22 10:12:10 PM,3.435,0.0125
375,10/23/22 04:12:10 AM,5.236,0.0125
376,10/23/22 10:12:10 AM,5.919,0.0125
377,10/23/22 04:12:10 PM,5.360,0.0125
378,10/23/22 10:12:10 PM,5.049,0.0125
379,10/24/22 04:12:10 AM,8.465,0.0125
380,10/24/22 10:12:10 AM,6.291,0.0125
381,10/24/22 04:12:10 PM,5.484,0.0125
382,10/24/22 10:12:10 PM,6.912,0.0125
383,10/25/22 04:12:10 AM,5.795,0.0125
384,10/25/22 10:12:10 AM,5.981,0.0125
385,10/25/22 04:12:10 PM,6.664,0.0125
386,10/25/22 10:12:10 PM,6.602,0.0125
387,10/26/22 04:12:10 AM,8.030,0.0125
388,10/26/22 10:12:10 AM,8.340,0.0125
389,10/26/22 04:12:10 PM,8.154,0.0125
390,10/26/22 10:12:10 PM,8.465,0.0125
391,10/27/22 04:12:10 AM,8.465,0.0125
392,10/27/22 10:12:10 AM,7.968,0.0125
393,10/27/22 04:12:10 PM,7.781,0.0125
394,10/27/22 10:12:10 PM,7.471,0.0125
395,10/28/22 04:12:10 AM,7.471,0.0125
396,10/28/22 10:12:10 AM,7.161,0.0125
397,10/28/22 04:12:10 PM,6.850,0.0125
398,10/28/22 10:12:10 PM,2.628,0.0125
399,10/29/22 04:12:10 AM,4.366,0.0125
400,10/29/22 10:12:10 AM,5.111,0.0125
401,10/29/22 04:12:10 PM,4.304,0.0125
402,10/29/22 10:12:10 PM,3.870,0.0125
403,10/30/22 04:12:10 AM,4.863,0.0125
404,10/30/22 10:12:10 AM,5.111,0.0125
405,10/30/22 04:12:10 PM,6.353,0.0125
406,10/30/22 10:12:10 PM,7.409,0.0125
407,10/31/22 04:12:10 AM,7.285,0.0125
408,10/31/22 10:12:10 AM,5.919,0.0125
409,10/31/22 04:12:10 PM,5.919,0.0125
410,10/31/22 10:12:10 PM,6.353,0.0125
411,11/01/22 04:12:10 AM,6.602,0.0125
412,11/01/22 10:12:10 AM,6.664,0.0125
413,11/01/22 04:12:10 PM,6.974,0.0125
414,11/01/22 10:12:10 PM,6.540,0.0125
415,11/02/22 04:12:10 AM,6.664,0.0125
416,11/02/22 10:12:10 AM,5.981,0.0125
417,11/02/22 04:12:10 PM,5.919,0.0125
418,11/02/22 10:12:10 PM,5.422,0.0125
419,11/03/22 04:12:10 AM,5.857,0.0125
420,11/03/22 10:12:10 AM,5.981,0.0125
421,11/03/22 04:12:10 PM,5.546,0.0125
422,11/03/22 10:12:10 PM,6.726,0.0125
423,11/04/22 04:12:10 AM,5.981,0.0125
424,11/04/22 10:12:10 AM,7.036,0.0125
425,11/04/22 04:12:10 PM,110.980,0.0125
426,11/04/22 10:12:10 PM,110.545,0.0125
427,11/05/22 04:12:10 AM,110.483,0.0125
428,11/05/22 10:12:10 AM,8.154,0.0125
429,11/05/22 04:12:10 PM,7.906,0.0125
430,11/05/22 10:12:10 PM,8.527,0.0125
431,11/06/22 04:12:10 AM,8.837,0.0125
432,11/06/22 10:12:10 AM,7.285,0.0125
433,11/06/22 04:12:10 PM,7.285,0.0125
434,11/06/22 10:12:10 PM,6.664,0.0125
435,11/07/22 04:12:10 AM,7.285,0.0125
436,11/07/22 10:12:10 AM,110.421,0.0125
437,11/07/22 04:12:10 PM,7.906,0.0125
438,11/07/22 10:12:10 PM,7.781,0.0125
439,11/08/22 04:12:10 AM,7.409,0.0125
440,11/08/22 10:12:10 AM,8.092,0.0125
441,11/08/22 04:12:10 PM,8.713,0.0125
442,11/08/22 10:12:10 PM,8.216,0.0125
443,11/09/22 04:12:10 AM,8.465,0.0125
444,11/09/22 10:12:10 AM,6.664,0.0125
445,11/09/22 04:12:10 PM,7.657,0.0125
446,11/09/22 10:12:10 PM,7.968,0.0125
447,11/10/22 04:12:10 AM,9.085,0.0125
448,11/10/22 10:12:10 AM,8.340,0.0125
449,11/10/22 04:12:10 PM,8.278,0.0125
450,11/10/22 10:12:10 PM,7.968,0.0125
451,11/11/22 04:12:10 AM,5.484,0.0125
452,11/11/22 10:12:10 AM,6.229,0.0125
453,11/11/22 04:12:10 PM,5.670,0.0125
454,11/11/22 10:12:10 PM,7.471,0.0125
455,11/12/22 04:12:10 AM,8.589,0.0125
456,11/12/22 10:12:10 AM,8.154,0.0125
457,11/12/22 04:12:10 PM,7.533,0.0125
458,11/12/22 10:12:10 PM,8.030,0.0125
459,11/13/22 04:12:10 AM,7.781,0.0125
460,11/13/22 10:12:10 AM,8.465,0.0125
461,11/13/22 04:12:10 PM,9.023,0.0125
462,11/13/22 10:12:10 PM,8.651,0.0125
463,11/14/22 04:12:10 AM,8.402,0.0125
464,11/14/22 10:12:10 AM,8.340,0.0125
