<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 23:25:05>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D1/raw/A543D1_20230801152430.f2b>,,,,,,
<LOGGER: $A543D1>,,,,,,
<FILESIZE: 154914 Bytes>,,,,,,
<MEMORY CLEAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D1/par/A543D1_20220723132046.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 15:34:30>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
285,04.08.2022 11:00:00,24.4145,7.79447,1.57163,,
286,04.08.2022 12:00:00,29.2304,7.80079,1.53014,,
287,04.08.2022 13:00:00,29.5876,7.81183,1.5127,,
288,04.08.2022 14:00:00,29.2838,7.81913,1.50162,,
289,04.08.2022 15:00:00,29.5526,7.84226,1.48962,,
290,04.08.2022 16:00:00,29.5743,7.86226,1.47519,29.57,3.384
291,04.08.2022 17:00:00,27.7156,7.87121,1.48385,,
292,04.08.2022 18:00:00,27.9965,7.87258,1.47904,,
293,04.08.2022 19:00:00,27.832,7.86341,1.4753,,
294,04.08.2022 20:00:00,26.914,7.85352,1.47851,,
295,04.08.2022 21:00:00,24.7108,7.84984,1.50081,,
296,04.08.2022 22:00:00,20.5807,7.82062,1.53197,20.58,3.434
297,04.08.2022 23:00:00,14.8114,7.78909,1.56211,,
298,05.08.2022 00:00:00,10.6669,7.77722,1.58643,,
299,05.08.2022 01:00:00,8.77961,7.76338,1.60464,,
300,05.08.2022 02:00:00,8.0828,7.75041,1.61986,,
301,05.08.2022 03:00:00,7.98596,7.74712,1.63152,,
302,05.08.2022 04:00:00,7.58861,7.73871,1.64384,7.58,3.416
303,05.08.2022 05:00:00,7.48173,7.73317,1.65066,,
304,05.08.2022 06:00:00,10.2489,7.72987,1.64964,,
305,05.08.2022 07:00:00,14.268,7.72581,1.64006,,
306,05.08.2022 08:00:00,17.3537,7.73663,1.62691,,
307,05.08.2022 09:00:00,20.6098,7.73981,1.60267,,
308,05.08.2022 10:00:00,22.6304,7.71548,1.58712,22.63,3.437
309,05.08.2022 11:00:00,25.1786,7.73718,1.56397,,
310,05.08.2022 12:00:00,27.0981,7.69274,1.56249,,
311,05.08.2022 13:00:00,28.5955,7.73492,1.50566,,
312,05.08.2022 14:00:00,29.486,7.71471,1.50809,,
313,05.08.2022 15:00:00,29.5976,7.74657,1.47926,,
314,05.08.2022 16:00:00,29.5892,7.72086,1.47126,29.58,3.457
315,05.08.2022 17:00:00,27.8288,7.75179,1.47637,,
316,05.08.2022 18:00:00,26.9045,7.78678,1.47349,,
317,05.08.2022 19:00:00,28.7965,7.79425,1.45265,,
318,05.08.2022 20:00:00,22.7859,7.75355,1.48954,,
319,05.08.2022 21:00:00,20.4601,7.73531,1.50942,,
320,05.08.2022 22:00:00,18.2685,7.7235,1.52491,18.26,3.392
321,05.08.2022 23:00:00,16.1219,7.73531,1.54075,,
322,06.08.2022 00:00:00,14.487,7.7113,1.56194,,
323,06.08.2022 01:00:00,14.0881,7.72053,1.56719,,
324,06.08.2022 02:00:00,14.1368,7.69768,1.57789,,
325,06.08.2022 03:00:00,12.504,7.69779,1.58665,,
326,06.08.2022 04:00:00,12.2071,7.71806,1.60847,12.2,3.395
327,06.08.2022 05:00:00,11.86,7.72767,1.63219,,
328,06.08.2022 06:00:00,12.104,7.70175,1.65002,,
329,06.08.2022 07:00:00,12.6981,7.65604,1.6568,,
330,06.08.2022 08:00:00,11.4965,7.66027,1.67342,,
331,06.08.2022 09:00:00,11.5622,7.6856,1.68599,,
332,06.08.2022 10:00:00,11.7172,7.6895,1.67488,11.71,3.403
333,06.08.2022 11:00:00,12.3098,7.83232,1.6825,,
334,06.08.2022 12:00:00,11.5299,7.91043,1.69854,,
335,06.08.2022 13:00:00,12.0891,8.01403,1.69477,,
336,06.08.2022 14:00:00,12.0193,8.13505,1.69904,,
337,06.08.2022 15:00:00,10.7246,8.05254,1.74591,,
338,06.08.2022 16:00:00,11.3701,8.09912,1.72002,11.37,3.397
339,06.08.2022 17:00:00,10.569,8.1245,1.72357,,
340,06.08.2022 18:00:00,9.47804,8.13933,1.73674,,
341,06.08.2022 19:00:00,10.3008,8.13406,1.73947,,
342,06.08.2022 20:00:00,8.55211,8.1379,1.75496,,
343,06.08.2022 21:00:00,7.56374,8.10028,1.76921,,
