Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger Gruber#2,,,,,,,,,,,,,
Serial Number,5123,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,1:00:00,,,,,,,,,,,,,
Start Time,6/28/2019,13:07:13,,,,,,,,,,,,
Current Time,7/20/2022,16:43:52,Logger Time,7/20/2022,14:08:08,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,26786,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,20002A,FFFFFFFF,0,Bat Type LSH14Light,,WD 255,PO 0,EXT 157,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
7/8/2019 5:07,186,3.46,0.024323,0.01753,,,,0.024323,0.01753,5.2,0,0,0,0
7/8/2019 6:07,187,3.46,0.024347,0.01745,,,,0.024347,0.01745,8.9,0,0,0,0
7/8/2019 7:07,188,3.46,0.024269,0.017529,,,,0.024269,0.017529,9.7,0,0,0,0
7/8/2019 8:07,189,3.46,0.024242,0.017515,,,,0.024242,0.017515,11,0,0,0,0
7/8/2019 9:07,190,3.51,0.024164,0.017406,,,,0.024164,0.017406,17,0,0,0,0
7/8/2019 10:07,191,3.51,0.024214,0.017366,,,,0.024214,0.017366,19.4,0,0,0,0
7/8/2019 11:07,192,3.56,0.024273,0.017305,,,,0.024273,0.017305,21.1,0,0,0,0
7/8/2019 12:07,193,3.56,0.023693,0.017191,,,,0.023693,0.017191,23.1,0,0,0,0
7/8/2019 13:07,194,3.56,0.024035,0.017178,,,,0.024035,0.017178,24.8,0,0,0,0
7/8/2019 14:07,195,3.56,0.0242,0.017065,,,,0.0242,0.017065,25.3,0,0,0,0
7/8/2019 15:07,196,3.56,0.024181,0.017061,,,,0.024181,0.017061,24.8,0,0,0,0
7/8/2019 16:07,197,3.56,0.024483,0.017099,,,,0.024483,0.017099,24.2,0,0,0,0
7/8/2019 17:07,198,3.51,0.024803,0.016998,,,,0.024803,0.016998,20.6,0,0,0,0
7/8/2019 18:07,199,3.51,0.024302,0.016933,,,,0.024302,0.016933,19.6,0,0,0,0
7/8/2019 19:07,200,3.51,0.024565,0.016945,,,,0.024565,0.016945,21.5,0,0,0,0
7/8/2019 20:07,201,3.51,0.024784,0.016874,,,,0.024784,0.016874,18.6,0,0,0,0
7/8/2019 21:07,202,3.51,0.024157,0.016855,,,,0.024157,0.016855,16,0,0,0,0
7/8/2019 22:07,203,3.51,0.024788,0.016834,,,,0.024788,0.016834,14.4,0,0,0,0
7/8/2019 23:07,204,3.46,0.024536,0.016998,,,,0.024536,0.016998,10.6,0,0,0,0
7/9/2019 0:07,205,3.51,0.024389,0.017035,,,,0.024389,0.017035,6.4,0,0,0,0
7/9/2019 1:07,206,3.46,0.024319,0.017063,,,,0.024319,0.017063,5.2,0,0,0,0
7/9/2019 2:07,207,3.46,0.024305,0.017084,,,,0.024305,0.017084,3.6,0,0,0,0
7/9/2019 3:07,208,3.46,0.024296,0.017128,,,,0.024296,0.017128,2,0,0,0,0
7/9/2019 4:07,209,3.46,0.02438,0.017071,,,,0.02438,0.017071,3.8,0,0,0,0
7/9/2019 5:07,210,3.46,0.024239,0.016981,,,,0.024239,0.016981,6.8,0,0,0,0
7/9/2019 6:07,211,3.46,0.024164,0.016914,,,,0.024164,0.016914,10.8,0,0,0,0
7/9/2019 7:07,212,3.51,0.024139,0.016905,,,,0.024139,0.016905,13.6,0,0,0,0
7/9/2019 8:07,213,3.51,0.024137,0.016912,,,,0.024137,0.016912,16.4,0,0,0,0
7/9/2019 9:07,214,3.51,0.024033,0.016884,,,,0.024033,0.016884,18.6,0,0,0,0
7/9/2019 10:07,215,3.56,0.024069,0.016809,,,,0.024069,0.016809,21.4,0,0,0,0
7/9/2019 11:07,216,3.56,0.023954,0.016756,,,,0.023954,0.016756,24.6,0,0,0,0
7/9/2019 12:07,217,3.56,0.023619,0.01664,,,,0.023619,0.01664,26.3,0,0,0,0
7/9/2019 13:07,218,3.56,0.023632,0.016594,,,,0.023632,0.016594,27.8,0,0,0,0
7/9/2019 14:07,219,3.56,0.023834,0.016548,,,,0.023834,0.016548,30,0,0,0,0
7/9/2019 15:07,220,3.56,0.023844,0.016445,,,,0.023844,0.016445,29.9,0,0,0,0
