Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,12:00:00,,,,,,,,,,,,,
Start Time,7/19/2022,15:55:13,,,,,,,,,,,,
Current Time,9/23/2022,11:57:55,Logger Time,9/23/2022,12:20:52,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,132,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,6A,FFFFFFFF,147650,Bat Type LS26500,,WD 139,PO 0,EXT 255,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
9/8/2022 3:55,102,2,-0.096935,0.624924,,,,-0.096935,0.624924,4.4,0,0,0,0
9/8/2022 15:55,103,2,-0.098362,0.624932,,,,-0.098362,0.624932,16.7,0,0,0,0
9/9/2022 3:55,104,2,-0.097601,0.624924,,,,-0.097601,0.624924,3.4,0,0,0,0
9/9/2022 15:55,105,2,-0.098225,0.624932,,,,-0.098225,0.624932,13.6,0,0,0,0
9/10/2022 3:55,106,2,-0.096581,0.624925,,,,-0.096581,0.624925,5.3,0,0,0,0
9/10/2022 15:55,107,2,-0.09551,0.624925,,,,-0.09551,0.624925,5.1,0,0,0,0
9/11/2022 3:55,108,2,-0.095333,0.624923,,,,-0.095333,0.624923,1.9,0,0,0,0
9/11/2022 15:55,109,2,-0.096102,0.624926,,,,-0.096102,0.624926,9.1,0,0,0,0
9/12/2022 3:55,110,2,-0.096004,0.624922,,,,-0.096004,0.624922,-3.4,0,0,0,0
9/12/2022 15:55,111,2,-0.096476,0.624927,,,,-0.096476,0.624927,12.3,0,0,0,0
9/13/2022 3:55,112,2,-0.09623,0.624923,,,,-0.09623,0.624923,-0.1,0,0,0,0
9/13/2022 15:55,113,2,-0.096149,0.624924,,,,-0.096149,0.624924,5.1,0,0,0,0
9/14/2022 3:55,114,2,-0.095984,0.624923,,,,-0.095984,0.624923,1.8,0,0,0,0
9/14/2022 15:55,115,2,-0.096548,0.624924,,,,-0.096548,0.624924,8.9,0,0,0,0
9/15/2022 3:55,116,2,-0.096134,0.624923,,,,-0.096134,0.624923,1.9,0,0,0,0
9/15/2022 15:55,117,2,-0.095854,0.624924,,,,-0.095854,0.624924,5.3,0,0,0,0
9/16/2022 3:55,118,2,-0.095873,0.624925,,,,-0.095873,0.624925,0.4,0,0,0,0
9/16/2022 15:55,119,2,-0.095968,0.624924,,,,-0.095968,0.624924,7.3,0,0,0,0
9/17/2022 3:55,120,2,-0.095833,0.624923,,,,-0.095833,0.624923,3.7,0,0,0,0
9/17/2022 15:55,121,2,-0.096474,0.624931,,,,-0.096474,0.624931,10.8,0,0,0,0
9/18/2022 3:55,122,2,-0.096289,0.624923,,,,-0.096289,0.624923,4,0,0,0,0
9/18/2022 15:55,123,2,-0.097286,0.624934,,,,-0.097286,0.624934,12.3,0,0,0,0
9/19/2022 3:55,124,2,-0.096783,0.624925,,,,-0.096783,0.624925,-0.3,0,0,0,0
9/19/2022 15:55,125,2,-0.098309,0.624931,,,,-0.098309,0.624931,16.3,0,0,0,0
9/20/2022 3:55,126,2,-0.097738,0.624922,,,,-0.097738,0.624922,3.4,0,0,0,0
9/20/2022 15:55,127,2,-0.096624,0.624925,,,,-0.096624,0.624925,8.3,0,0,0,0
9/21/2022 3:55,128,2,-0.096363,0.624921,,,,-0.096363,0.624921,1.7,0,0,0,0
9/21/2022 15:55,129,2,-0.097273,0.624926,,,,-0.097273,0.624926,12.1,0,0,0,0
9/22/2022 3:55,130,2,-0.096815,0.624921,,,,-0.096815,0.624921,1.6,0,0,0,0
9/22/2022 15:55,131,2,-0.09642,0.624922,,,,-0.09642,0.624922,2.6,0,0,0,0
9/23/2022 3:55,132,2,-0.096092,0.624921,,,,-0.096092,0.624921,0.6,0,0,0,0
